,trajectory_id,trace_number,longitude (degree_east),latitude (degree_north),date,time_UTC,surface_altitude (m),land_ice_thickness (m),bedrock_altitude (m),two_way_travel_time (m),aircraft_altitude (m),along_track_distance (m),easting,northing,project,geometry
401,18063,,-117.3933,-76.43833000000001,,,1561.0,3180.0,-1619.0,,,,-1314178.3877338753,-681010.4184880154,,POINT (-1314178.3877338753 -681010.4184880154)
402,1465404,,-117.4483,-76.485,,,1561.0,3464.0,-1903.0,,,,-1308963.2240551806,-679902.6328623638,,POINT (-1308963.2240551806 -679902.6328623638)
403,18062,,-117.5033,-76.53,,,1562.0,3460.0,-1898.0,,,,-1303914.9223242335,-678870.5996374503,,POINT (-1303914.9223242335 -678870.5996374503)
404,18061,,-117.5667,-76.57667,,,1554.0,2465.0,-911.0,,,,-1298607.8259838058,-677935.0364741967,,POINT (-1298607.8259838058 -677935.0364741967)
405,1465403,,-117.6167,-76.62666,,,1559.0,2268.0,-709.0,,,,-1293139.2700214803,-676516.8699190841,,POINT (-1293139.2700214803 -676516.8699190841)
406,18060,,-117.8333,-76.60667,,,1567.0,1913.0,-346.0,,,,-1292518.6101853473,-682428.0768694623,,POINT (-1292518.6101853473 -682428.0768694623)
407,1490678,,-117.8887,-76.6035,,,1620.0,559.0,1061.0,,,,-1292166.6132325411,-683840.7507493955,,POINT (-1292166.6132325411 -683840.7507493955)
408,1490677,,-117.9422,-76.6035,,,1634.0,937.0,697.0,,,,-1291527.512923711,-685047.014517577,,POINT (-1291527.512923711 -685047.014517577)
409,1465402,,-118.0417,-76.59333000000001,,,1625.0,1706.0,-81.0,,,,-1291324.1095083032,-687815.2075041893,,POINT (-1291324.1095083032 -687815.2075041893)
410,1490676,,-117.9857,-76.60519000000001,,,1645.0,771.0,874.0,,,,-1290842.7432669124,-685940.0623803088,,POINT (-1290842.7432669124 -685940.0623803088)
411,1490675,,-118.0375,-76.60519000000001,,,1659.0,661.0,998.0,,,,-1290222.0707381533,-687106.8077113644,,POINT (-1290222.0707381533 -687106.8077113644)
412,18042,,-120.0167,-77.54833,,,1834.0,2772.0,-938.0,,,,-1175898.3667946442,-679362.300975291,,POINT (-1175898.3667946442 -679362.300975291)
413,18041,,-120.0167,-77.59834000000001,,,1828.0,2428.0,-600.0,,,,-1171139.8992981312,-676613.148906682,,POINT (-1171139.8992981312 -676613.148906682)
414,147240,,-119.649,-77.68961,,,1778.0,2373.0,-595.0,,,,-1166742.6995921126,-664122.5629005285,,POINT (-1166742.6995921126 -664122.5629005285)
415,147241,,-119.6691,-77.688,,,1778.0,2417.0,-639.0,,,,-1166663.340064523,-664619.3840295918,,POINT (-1166663.340064523 -664619.3840295918)
416,147242,,-119.6824,-77.68961,,,1778.0,2461.0,-683.0,,,,-1166355.3577863667,-664802.5909757674,,POINT (-1166355.3577863667 -664802.5909757674)
417,147243,,-119.7107,-77.6913,,,1779.0,2556.0,-777.0,,,,-1165865.5871997783,-665286.5825877794,,POINT (-1165865.5871997783 -665286.5825877794)
418,147244,,-119.7291,-77.6947,,,1780.0,2584.0,-804.0,,,,-1165327.5018984054,-665475.7165764652,,POINT (-1165327.5018984054 -665475.7165764652)
